date,sales
2023-01-01,1646
2023-01-02,1734
2023-01-03,2237
2023-01-04,1975
2023-01-05,2126
2023-01-06,2292
2023-01-07,2066
2023-01-08,2350
2023-01-09,1670
2023-01-10,2232
2023-01-11,2394
2023-01-12,2020
2023-01-13,1802
2023-01-14,2785
2023-01-15,1904
2023-01-16,2632
2023-01-17,2568
2023-01-18,2918
2023-01-19,2117
2023-01-20,1920
2023-01-21,2363
2023-01-22,2860
2023-01-23,2531
2023-01-24,2523
2023-01-25,2868
2023-01-26,2638
2023-01-27,2585
2023-01-28,2327
2023-01-29,2775
2023-01-30,2581
2023-01-31,2567
2023-02-01,3061
2023-02-02,2478
2023-02-03,2307
2023-02-04,2503
2023-02-05,2900
2023-02-06,2483
2023-02-07,2762
2023-02-08,2565
2023-02-09,3002
2023-02-10,2426
2023-02-11,2474
2023-02-12,3086
2023-02-13,2735
2023-02-14,2648
2023-02-15,2573
2023-02-16,2536
2023-02-17,2463
2023-02-18,2726
2023-02-19,2446
2023-02-20,2571
2023-02-21,2781
2023-02-22,2797
2023-02-23,2207
2023-02-24,2473
2023-02-25,2524
2023-02-26,2644
2023-02-27,2525
2023-02-28,2447
2023-03-01,2208
2023-03-02,2798
2023-03-03,2762
2023-03-04,2614
2023-03-05,2372
2023-03-06,2376
2023-03-07,2277
2023-03-08,2281
2023-03-09,2604
2023-03-10,2510
2023-03-11,2164
2023-03-12,2755
2023-03-13,2548
2023-03-14,1918
2023-03-15,2240
2023-03-16,1957
2023-03-17,2492
2023-03-18,2423
2023-03-19,2375
2023-03-20,2622
2023-03-21,2300
2023-03-22,2293
2023-03-23,2801
2023-03-24,2602
2023-03-25,2132
2023-03-26,2156
2023-03-27,2530
2023-03-28,2582
2023-03-29,2547
2023-03-30,2860
2023-03-31,2362
2023-04-01,2594
2023-04-02,2817
2023-04-03,2403
2023-04-04,2639
2023-04-05,2652
2023-04-06,2484
2023-04-07,2276
2023-04-08,2729
2023-04-09,2548
2023-04-10,2865
2023-04-11,2688
2023-04-12,2818
2023-04-13,2381
2023-04-14,2863
2023-04-15,2724
2023-04-16,2900
2023-04-17,2656
2023-04-18,2436
2023-04-19,3522
2023-04-20,2737
2023-04-21,2842
2023-04-22,2664
2023-04-23,2782
2023-04-24,2769
2023-04-25,2555
2023-04-26,3179
2023-04-27,3040
2023-04-28,3071
2023-04-29,2467
2023-04-30,2776
2023-05-01,3017
2023-05-02,2907
2023-05-03,2953
2023-05-04,3019
2023-05-05,2909
2023-05-06,3259
2023-05-07,2831
2023-05-08,2741
2023-05-09,2886
2023-05-10,3105
2023-05-11,3235
2023-05-12,3142
2023-05-13,2935
2023-05-14,3161
2023-05-15,3395
2023-05-16,3387
2023-05-17,3224
2023-05-18,3612
2023-05-19,3282
